index,app_name,state_filename,textfield_id,droidfiller,llm_no_reasoning,category_matching
106,Calendar,state_2022-11-01_172842215734,note_text_167_1473,O,O,X
107,Gallery,state_2022-11-01_172316447819,search_src_text_137_106,O,O,X
108,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_557,O,O,O
109,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_819,O,O,X
110,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_1408,O,O,O
111,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_1560,O,O,O
112,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_1807,O,O,O
113,Contacts,state_2022-11-01_173529930391,nameEdit_144_701,O,O,O
114,Contacts,state_2022-11-01_173529930391,editOrganizationTitle_144_963,O,O,X
115,Contacts,state_2022-11-01_173529930391,editOrganizationDepartment_144_1079,O,O,O
116,Contacts,state_2022-11-01_173529930391,editOrganizationCompany_144_1195,O,O,O
117,Contacts,state_2022-11-01_173146572934,search_src_text_137_106,O,X,X
118,Samsung Members,state_2022-11-02_101955202341,inputEditText_47_618,O,X,O
119,Samsung Members,state_2022-11-02_101955202341,inputEditText_47_825,O,X,X
120,Samsung Members,state_2022-11-02_101839943819,nickname_63_1622,O,O,O
121,My Files,state_2022-11-02_100330860289,search_src_text_137_106,O,O,X
122,My Files,state_2022-11-02_100555195131,search_src_text_137_106,O,O,O
123,Samsung Internet,state_2022-11-01_184749322308,location_bar_edit_text_205_106,O,O,O
124,Clock,state_2022-11-01_184255456720,numberpicker_input_144_408,O,O,O
125,Clock,state_2022-11-01_184255456720,numberpicker_input_612_408,O,O,O
126,Clock,state_2022-11-01_184255456720,alarm_name_47_1388,O,O,X
127,Clock,state_2022-11-01_184421020236,worldclock_search_map_txt_find_158_140,O,O,O
128,Clock,state_2022-11-01_184455299444,hour_48_1787,O,O,X
129,Clock,state_2022-11-01_184455299444,minute_201_1787,O,O,X
130,Clock,state_2022-11-01_184455299444,second_354_1787,O,O,X
131,Clock,state_2022-11-01_184455299444,preset_name_48_1944,O,O,X
,,,,118,111,78
