index,app_name,state_filename,textfield_id,correct_droidagent,correct_category_matching
53,OK_Social_Network_v22.6.1,state_-711716765,text_login_66_448,,
54,OK_Social_Network_v22.6.1,state_-711716765,password_text_66_607,,
55,Hulu,state_638690253,email_66_653,,
56,Hulu,state_638690253,password_66_875,,
57,org.totschnig.myexpenses,state_-1243134374,Payee_327_641,,
58,org.totschnig.myexpenses,state_-1243134374,AmountEditText_459_361,,
59,org.totschnig.myexpenses,state_-1243134374,Comment_327_1055,,
60,org.totschnig.myexpenses,state_-1635201685,tag_edit_44_220,,
61,org.totschnig.myexpenses,state_1111865268,Payee_327_641,,
62,org.totschnig.myexpenses,state_1111865268,AmountEditText_459_361,,
63,org.totschnig.myexpenses,state_1111865268,Comment_327_1055,,
64,org.totschnig.myexpenses,state_-14726600,Label_327_227,,
65,org.totschnig.myexpenses,state_-14726600,Description_327_365,,
66,org.totschnig.myexpenses,state_-14726600,AmountEditText_459_499,,
67,org.totschnig.myexpenses,state_-14726600,AmountEditText_459_1327,,
68,Issuu_magazines_news_books_v5.67.0,state_-514105064,search_src_text_154_92,,
69,Firefox_Fast_Private_Browser_v101.1.1,state_1018090987,mozac_browser_toolbar_edit_url_view_154_1331,,
70,co.appreactor.news,state_-1160844204,serverUrl_44_301,,
71,co.appreactor.news,state_-1160844204,username_44_654,,
72,co.appreactor.news,state_-1160844204,password_44_877,,
73,Opera_Mini_fast_web_browser_v63.0.2254.61942,state_70984969,url_field_140_231,,
74,HERE_WeGo_Maps_Navigation_v4.4.200,state_156770900,_44_176,,
75,Waze_Navigation_Live_Traffic_v4.84.0.2,state_-1669109699,sideMenuSearchBox_33_621,,
76,Instagram,state_1954100112,confirmation_field_77_508,,
77,Instagram,state_215427127,full_name_77_391,,
78,Instagram,state_215427127,password_77_567,,
79,Instagram,state_1381772643,search_122_278,,
80,Instagram,state_973891293,full_name_77_391,,
81,Instagram,state_973891293,password_77_567,,
82,Instagram,state_178737488,email_field_77_747,,
83,Instagram,state_-628214519,phone_field_293_744,,
84,me.hackerchick.catima,state_-236981483,storeNameEdit_199_417,,
85,me.hackerchick.catima,state_-236981483,cardIdView_28_613,,
86,me.hackerchick.catima,state_530085251,cardId_285_408,,
87,me.hackerchick.catima,state_-1021118874,search_src_text_176_103,,
88,WhatsApp,state_1298032692,registration_phone_400_480,,
89,WhatsApp,state_1298032692,registration_cc_182_480,,
90,WhatsApp,state_-1824722619,verify_sms_code_input_320_392,,
91,WhatsApp,state_-960371024,registration_phone_400_480,,
92,WhatsApp,state_-960371024,registration_cc_182_480,,
93,Settings,state_2022-11-02_095831401950,search_src_text_137_106,,
94,Galaxy Store,state_2022-11-01_183635589137,coupon_edit_89_1912,,
95,Galaxy Store,state_2022-11-01_184121181885,search_src_text_153_118,,
96,Galaxy Store,state_2022-11-01_184025384712,name_86_725,,
97,Galaxy Store,state_2022-11-01_184025384712,phoneNumber_86_1846,,
98,SmartThings,state_2022-11-01_175008826290,inviteAccountText_63_463,,
99,SmartThings,state_2022-11-01_175242663868,search_src_text_137_178,,
100,SmartThings,state_2022-11-01_183300373138,edit_text_name_47_303,,
101,Messages,state_2022-11-01_172019083263,recipients_editor_to_58_262,,
102,Messages,state_2022-11-01_172019083263,message_edit_text_440_2154,,
103,Messages,state_2022-11-01_125025142665,search_src_text_138_106,,
104,Calendar,state_2022-11-01_172842215734,title_63_238,,
105,Calendar,state_2022-11-01_172842215734,location_167_907,,
106,Calendar,state_2022-11-01_172842215734,note_text_167_1473,,
107,Gallery,state_2022-11-01_172316447819,search_src_text_137_106,,
108,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_557,,
109,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_819,,
110,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_1408,,
111,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_1560,,
112,Contacts,state_2022-11-01_173529930391,forCursorEdit_158_1807,,
113,Contacts,state_2022-11-01_173529930391,nameEdit_144_701,,
114,Contacts,state_2022-11-01_173529930391,editOrganizationTitle_144_963,,
115,Contacts,state_2022-11-01_173529930391,editOrganizationDepartment_144_1079,,
116,Contacts,state_2022-11-01_173529930391,editOrganizationCompany_144_1195,,
117,Contacts,state_2022-11-01_173146572934,search_src_text_137_106,,
118,Samsung Members,state_2022-11-02_101955202341,inputEditText_47_618,,
119,Samsung Members,state_2022-11-02_101955202341,inputEditText_47_825,,
120,Samsung Members,state_2022-11-02_101839943819,nickname_63_1622,,
121,My Files,state_2022-11-02_100330860289,search_src_text_137_106,,
122,My Files,state_2022-11-02_100555195131,search_src_text_137_106,,
123,Samsung Internet,state_2022-11-01_184749322308,location_bar_edit_text_205_106,,
124,Clock,state_2022-11-01_184255456720,numberpicker_input_144_408,,
125,Clock,state_2022-11-01_184255456720,numberpicker_input_612_408,,
126,Clock,state_2022-11-01_184255456720,alarm_name_47_1388,,
127,Clock,state_2022-11-01_184421020236,worldclock_search_map_txt_find_158_140,,
128,Clock,state_2022-11-01_184455299444,hour_48_1787,,
129,Clock,state_2022-11-01_184455299444,minute_201_1787,,
130,Clock,state_2022-11-01_184455299444,second_354_1787,,
131,Clock,state_2022-11-01_184455299444,preset_name_48_1944,,
